id,scratchedoffshoppingcart,shoppingcart,name,optionalassetname,secondaryname,type,cabinet
1,0,0,Coconut Cream,coconut_cream,,MIXER,0
2,0,0,Zodiac Vodka,vodka_,Vodka,LIQUOR,0
3,0,0,Rum (151 proof),rum_151,,LIQUOR,0
4,0,0,Hendrick's Gin,gin,Gin,LIQUOR,0
5,0,0,Magic Spirits Vodka,vodka_,Vodka,LIQUOR,0
6,0,0,Coffee,coffee,,MIXER,0
7,0,0,Goldschlager,goldschlager,Schnapps (cinnamon),LIQUOR,0
8,0,0,Stranahan's Whiskey,whiskey,Whiskey,LIQUOR,0
9,0,0,Double Cream,cream_double,,MIXER,0
10,0,0,Soy Sauce,soy_sauce,,MIXER,0
11,0,0,Pina Colada Mix,pinacolada_mix,,MIXER,0
12,0,0,Glenlivet Scotch,scotch,Scotch,LIQUOR,0
13,0,0,Marie Brizard Creme de Fraise des Bois,creme_fraise,,LIQUOR,0
14,0,0,Passoa,passionfruit_liqueur,,LIQUOR,0
15,0,0,BOLS Damrak Gin,gin,Gin,LIQUOR,0
16,0,0,Sherry (dry),sherry_dry,,LIQUOR,0
17,0,0,Jim Beam Bourbon,bourbon,Bourbon,LIQUOR,0
18,0,0,Irish Whiskey,whiskey_irish,,LIQUOR,0
19,0,0,Peychaud Bitters,bitters_peychaud,Bitters,LIQUOR,0
20,0,0,Absinthe,absinthe,,LIQUOR,0
21,0,0,Ginger Ale,gingerale,,MIXER,0
22,0,0,Sierra Morena Rum,rum_,Rum,LIQUOR,0
23,0,0,Cockspur Rum,rum_,Rum,LIQUOR,0
24,0,0,Mandarin Juice,orange_juice,,MIXER,0
25,0,0,New Amsterdam Gin,gin,Gin,LIQUOR,0
26,0,0,Bitters,bitters_,,LIQUOR,0
27,0,0,Mango Syrup,mango_syrup,,MIXER,0
28,0,0,Captain Morgan Original Spiced Rum,rum_spiced,Rum (spiced),LIQUOR,0
29,0,0,Amaretto,amaretto,,LIQUOR,0
30,0,0,Maui Dark Rum,rum_,Rum,LIQUOR,0
31,0,0,Heavy Cream,cream_heavy,,MIXER,0
32,0,0,Raspberry Juice,raspberry_juice,,MIXER,0
