ingredient_id,recipe_id
33,827
33,730
33,515
33,313
33,605
33,568
33,368
33,102
33,699
33,82
33,667
33,298
33,782
33,641
33,755
33,260
33,922
33,366
33,631
33,858
33,349
33,425
33,253
33,513
33,433
33,24
33,873
33,537
33,70
33,145
33,898
33,735
36,411
523,789
523,373
37,295
27,655
40,406
40,883
40,443
40,686
40,762
40,899
40,190
40,687
40,892
40,651
40,401
529,679
529,209
529,548
44,193
44,222
44,801
44,894
44,486
44,55
44,468
62,308
62,465
45,470
47,527
47,379
47,457
533,839
533,621
533,351
533,878
533,838
533,574
533,567
533,745
533,571
533,229
533,635
533,689
533,777
533,265
533,328
533,457
533,617
533,249
533,345
533,752
533,154
533,853
533,352
533,652
533,902
533,147
533,306
533,656
533,211
533,376
533,1
533,722
533,23
533,724
533,187
49,753
49,622
49,292
49,542
49,413
49,272
49,582
49,490
49,536
49,133
49,929
49,431
49,869
49,896
49,25
49,76
49,341
49,124
49,649
49,653
49,138
49,478
49,268
49,217
49,405
49,554
49,868
49,269
49,224
49,291
49,218
49,541
49,547
49,769
49,910
49,451
49,350
49,210
49,47
49,762
49,426
49,756
49,594
49,506
49,317
49,98
49,624
49,880
49,545
49,581
41,771
41,181
41,221
74,468
74,266
74,484
74,13
74,376
74,878
75,119
75,464
9,250
9,54
9,204
9,65
55,353
76,176
76,456
538,582
57,409
57,786
57,619
59,636
59,904
59,864
59,816
59,426
59,580
60,508
60,787
60,195
60,28
60,164
60,825
60,535
60,396
60,695
60,399
60,460
60,578
60,55
60,449
60,430
60,231
60,20
60,855
60,830
65,702
65,346
65,78
65,117
65,191
65,343
65,107
65,174
65,133
66,568
66,770
66,307
66,851
66,210
83,459
83,744
48,157
48,127
48,314
48,480
48,220
48,695
48,41
48,513
48,54
48,204
48,759
48,643
48,757
48,930
67,20
67,192
67,912
67,801
86,280
86,813
86,326
86,662
86,778
86,89
86,850
86,202
86,4
3,306
3,128
3,787
3,687
3,717
3,168
3,143
3,692
3,538
3,410
3,476
3,806
3,79
3,401
3,555
3,894
53,820
53,904
91,254
91,537
61,190
61,774
24,73
80,517
80,225
84,549
84,500
31,33
31,420
31,316
31,899
31,178
31,27
31,470
31,607
50,362
50,829
50,185
50,637
50,143
50,882
