id,alcoholic,drinkid,edited,favorite,issuggested,glass_id,information,instructions,name,notes
1,1,881,{null},{null},{null},2,,"Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a collins glass. Add several ice cubes, fill with carbonated water, and stir. Decorate with slices of orange, lemon, and top with the cherry. Serve with a straw.",Whiskey Collins,{null}
2,1,141,{null},{null},{null},14,,"Shake blackberry liqueur, lemon juice and simple syrup with ice, and strain into a highball glass filled with crushed ice. Stir until the glass begins to frost. Garnish with the berry marinade, and serve.",Blackberry Julep,{null}
3,1,214,{null},{null},{null},17,,"Add amaretto, cognac and anisette to a coffee mug. Fill almost to the top with hot coffee. Add honey and top with a puff of whipped cream.",Cafe Zurich,{null}
4,1,320,{null},{null},{null},15,,"Shake and strain into an old-fashioned glass half-filled with broken ice. Add lemonade. Garnish with a lemon slice and sugar-dipped raspberry, and serve.",Francine,{null}
5,1,812,{null},{null},{null},22,,Pour together and serve cold.,Sunny D Screwdriver,{null}
6,1,680,{null},{null},{null},14,,Pour all ingredients over ice. Shake.,Red Rattlesnake,{null}
7,1,640,{null},{null},{null},12,,Shake with ice and enjoy.,Pierced Navel,{null}
8,1,455,{null},{null},{null},18,,Shake all ingredients (except lime peel) with ice and strain into a cocktail glass. Add the twist of lime peel and serve.,Japanese Cocktail,{null}
9,1,662,{null},{null},{null},18,,"Shake with ice, strain into a cocktail glass, and serve.",Pompano,{null}
10,1,131,{null},{null},{null},21,,Pour ingredients over ice cubes in an old-fashioned glass and serve.,Black Russian,{null}
11,1,126,{null},{null},{null},2,,Pour 2-3 shots of Black Haus into glass and add cola.,Black Cherry Coke,{null}
12,1,190,{null},{null},{null},18,,"Pour all ingredients into a cocktail shaker half-filled with ice cubes. Shake and strain into a cocktail glass, and serve.",Brazen Hussy,{null}
13,1,237,{null},{null},{null},11,,"Combine both ingredients in a highball glass, stir and serve.",Cheeky Vimto,{null}
14,1,136,{null},{null},{null},12,,"Pour in kahlua, then butterscotch schnapps. Layer Irish cream on top.",Black Unicorn,{null}
15,1,713,{null},{null},{null},15,,Pour the Scotch and Drambuie into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,Rusty Nail,{null}
16,1,516,{null},{null},{null},14,"According to the Bartender's Database, the Mai Tai was created by Victor J. Bergeron (Trader Vic) during an afternoon while entertaining friends from Tahiti. One of the friends took a sip and exclaimed ""Maita'I roa ae!"", which means ""Very good"". Trader Vic shorted the expression to Mai Tai, and used it as the name.",Shake all ingredients (except cherry) with ice and strain into a collins glass over several ice cubes. Top with the cherry and serve.,Mai Tai,{null}
17,1,802,{null},{null},{null},7,,"Mix the Vodka, Tequila, Aftershock, Beer, and Lemonade in a blender. Blend until a smooth frothy substance is achieved. Fill beer mug with drink and prepared to be hit with a Suburban Warhead",Suburban Warhead,{null}
18,1,827,{null},{null},{null},18,,"Pour tequila and vermouth into a mixing glass half-filled with ice cubes. Stir well, and strain into a cocktail glass. Garnish with a twist of lemon or an olive, and serve.",Tequila Martini,{null}
19,1,83,{null},{null},{null},16,,"Add ingredients to shaker with cubed ice, stir till shaker frosts, strain into rocks glass.",B-69,{null}
20,1,580,{null},{null},{null},15,,"Pour hershey's chocolate syrup around the inside rim of a rocks glass. Fill with ice, add ingredients, and serve.",Mudslide,{null}
21,1,233,{null},{null},{null},15,,Shake ingredients in a cocktail shaker with ice. Strain into an old-fashioned glass.,Charro,{null}
22,1,156,{null},{null},{null},20,,Pour half glass of Dr. Pepper and half glass of any type red wine together. Coca Cola can be substituted. Then it would be a Bloody Cola!,Bloody Pepper,{null}
