id,stepindex,recipe_id,stepamount,steptitle
1,7,687,2 tbsp,Rum (151 proof)
2,2,449,1 1/2 oz,Rum (light)
3,2,321,3 oz,Tequila (vanilla)
4,2,317,1 oz,Cranberry Juice
5,5,558,{null},Stir
6,7,437,{null},Strain into glass
7,8,502,{null},Garnish with a lime wedge
8,3,336,{null},Stir
9,4,642,1 dash,Grenadine
10,0,675,{null},Tools:Shaker
11,2,622,1 1/2 oz,Applejack
12,5,401,1 oz,Strawberry Liqueur
13,2,616,1 oz,Rum (gold)
14,4,478,{null},Stir
16,2,509,1 1/2 oz,Whiskey (blended)
18,4,583,{null},Shake
19,5,395,2 oz,Rum (light)
20,7,443,Fill,Orange Juice
21,0,716,3-4 cubes,Ice
22,4,301,6 oz,Vodka
23,4,420,1 1/2 oz,Heavy Cream
25,2,623,1/2 oz,Schnapps (peppermint)
26,6,421,Fill,Club Soda
27,6,413,{null},Recommended Rum: Malibu
28,2,329,1 oz,Rum (dark)
29,5,556,1/2 oz,Maraschino Liqueur
30,0,715,{null},Tools: Shaker
31,3,598,1/2 oz,Orange Curacao
32,5,408,{null},Shake
33,1,427,8 ounces,Ice
34,2,515,1 1/2 oz,Campari
35,2,510,2 oz,Vodka
36,0,717,{null},Tools:Shaker
37,1,648,2 oz,Whiskey
38,5,554,Garnish,Oranges
40,1,642,Fill 1/2,Ice
41,2,624,1 oz,Midori
42,2,625,2 oz,Rum
43,2,328,2 1/2 oz,Brandy
44,4,649,1/4 oz,Apple Liqueur
45,3,488,1 oz,Rum (light)
46,0,681,2 1/2 oz,Orange Juice
47,4,644,1 splash,Grenadine
49,1,420,2 tsp,Brown Sugar
50,2,343,1 oz,Vodka
51,2,628,1 1/2 oz,Wine (white)
52,0,252,{null},Tools: Shaker
54,1,657,2 oz,Whiskey (blended)
56,4,492,{null},Stir
57,9,498,{null},Garnish with a lemon slice
58,8,384,1 piece,Cherries (maraschino)
59,3,618,{null},Stir
60,1,661,1 oz,Jagermeister
61,7,451,{null},Stir
62,5,555,{null},Shake
63,3,613,1/2 oz,Amaretto
64,3,605,1/2 oz,Grenadine
65,5,562,3 1/4 oz,Champagne
66,3,357,{null},Rum (white)1/2 oz
67,3,356,8 oz,Cola
68,0,725,{null},Tools: Mixing Glass
70,6,549,{null},Shake
71,1,309,1 oz (cherry),Vodka
73,3,485,1 oz,Amaretto
74,1,303,1/4 oz,Sambuca (black)
76,1,649,Fill,Ice
77,5,561,1 dash,Salt
79,3,479,1/2 oz,Tonic Water
80,1,445,2 oz,Tequila
81,4,666,4 dashes,Lime Juice
82,1,644,1 1/2 oz,Vodka
83,2,327,1 1/2 oz,Vodka
84,6,551,{null},Strain into glass
85,0,726,Fill,Ice
86,0,688,1/2 oz,Kahlua
87,2,637,{null},Stir gently
88,5,405,{null},Pour into glass
89,8,507,Garnish,Nutmeg
90,4,591,{null},Muddle until sugar dissolves
91,4,508,{null},Shake
92,3,364,1 tsp,Maraschino Liqueur
95,4,545,1 splash,Club Soda
96,3,358,1 1/2 oz,Cointreau
99,0,680,3-4 cubes,Ice
100,7,522,Fill,Pineapple Juice
101,4,309,1/4 oz,Amaretto
103,4,674,Fill,Pepsi
104,4,673,1 splash,Benedictine
105,7,394,1/4 oz,Grenadine
106,3,611,1/4 oz,Grenadine
107,7,417,{null},Stir
108,7,530,{null},Recommended Whiskey: Crown Royal
109,1,669,1/2 oz,Kahlua
111,4,445,3 oz,Orange Juice
112,1,666,3-4 cubes,Ice
113,3,365,3 dashes,Tabasco Sauce
114,3,503,1/2 oz,Port (ruby)
116,8,389,{null},Garnish with a cherry on top
118,0,730,{null},Tools: Mixing Glass
119,4,658,1/2 oz,Triple Sec
121,3,487,1 tsp,Honey
122,7,413,{null},Recommended Vodka: Stoli Razberi
123,4,678,4 dashes,Grenadine
124,8,516,3 oz,Champagne
127,0,274,{null},Tools: Shaker
130,1,545,2 oz,Vodka
131,2,640,1/2 oz,Vodka
132,1,546,Fill 1/2,Ice
133,6,437,{null},Shake
136,2,336,3/4 oz,Creme de Menthe (white)
137,5,575,{null},Shake
138,0,689,{null},Tools: Shaker
140,1,674,1 oz,Vodka
141,1,673,Fill 3/4,Ice
142,5,577,{null},Strain into glass
144,7,460,{null},In glass
145,4,676,Garnish,Lemons
146,3,623,{null},Recommended Irish Cream: Bailey's
147,6,556,{null},Shake
148,2,342,{null},Muddle sugar and limes
150,1,321,Fill,Ice
151,1,658,Fill 3/4,Ice
152,3,617,1/4 tsp,Triple Sec
153,5,568,{null},Shake
154,5,422,Pour around side,Grenadine
155,6,555,{null},Pour into glass
156,1,449,1 oz,Coffee Liqueur
157,1,678,Fill 1/2,Ice
158,4,675,1/2 oz,Lemon-Lime Cola
159,5,566,{null},Shake well
160,3,378,1 oz,Lemon Juice
162,1,317,1 1/2 oz,Tequila
163,6,687,3 oz,Pineapple Juice
165,3,616,1 oz,Rum (white)
166,0,380,{null},Tools: Shaker
168,0,742,1/2 oz,Sambuca (white)
169,3,622,1 oz,Cointreau
170,3,509,3/4 oz,Vermouth (dry)
171,1,676,1 dash,Gin
172,3,510,1 1/2 oz,Lime Juice
173,3,492,1 tsp,Sugar (superfine)
174,1,329,Fill 1/2,Ice
175,4,321,2 dashes,Bitters
176,2,427,2 oz,Cachaca
177,2,357,1/2 oz,Gin
178,6,451,3/4 oz,Sweet-and-Sour
179,5,572,1/2 oz,Triple Sec
180,5,573,{null},Shake for 20 seconds
181,4,613,{null},Stir
182,4,449,2 oz,Milk
183,6,443,{null},Strain into glass
184,2,648,1/2 oz,Schnapps (peach)
185,3,515,1 1/2 oz,Vermouth (sweet)
186,1,675,Fill 2/3,Ice
187,3,624,1 oz,7-Up
188,6,554,Garnish,Cherries
189,3,625,2 oz,Midori
190,5,583,{null},Pour into glass
191,1,681,2 1/2 oz,Champagne
194,2,642,2 oz,Whiskey
195,4,317,1/2 oz,Lime Juice
196,0,698,3-4 cubes,Ice
197,7,549,{null},Strain into glass
199,1,328,5 leaves,Mint
200,2,488,1 oz,Rum (spiced)
201,2,420,6 oz,Coffee
203,7,474,{null},Recommended Vodka: Absolut Mandrin
204,6,562,{null},Recommended Orange Liqueur: Mandarine Napoleon
207,2,657,1 tbsp,Creme de Cacao
208,4,329,1 tbsp,Lime Juice
209,1,343,1 oz syrup,Grenadine
210,3,628,1 oz,Orange Juice
211,2,661,1 dash,Grenadine
212,3,637,{null},Recommended Beer: Corona
214,0,697,{null},Tools: Shaker
215,2,356,1 oz,Whiskey
217,3,508,1 1/2 oz,Coffee Liqueur
219,8,498,1 splash,Cola
221,6,575,{null},Strain into glass
223,2,669,{null},Stir
225,2,649,1/2 oz,Bourbon
226,0,288,3/4 oz,Chartreuse (green)
227,8,394,{null},Shake well
229,0,393,Fill 1/2,Ice
230,2,479,1/2 oz,Club Soda
231,5,584,{null},Pour into glass
232,2,644,1 oz,Galliano
233,5,439,{null},Recommended Wine: Lillet Blanc
234,1,327,Fill 3/4,Ice
235,0,400,Fill,Ice
236,6,568,{null},Pour into glass
238,4,343,1 dash,Ginger Ale
239,1,689,{null},Garnish glass rim with powdered sugar
240,2,364,1/2 oz,Brandy (apricot)
241,3,640,{null},Pour over ice
242,5,437,3 oz,Pineapple Juice
244,6,566,{null},Pour into glass
245,2,355,3/4 oz,Grenadine
246,2,358,3 oz,Champagne
247,7,551,1 sprig,Mint
249,8,522,Garnish,Apples
250,0,711,{null},Tools: Shaker
251,1,688,1/2 oz,Irish Cream
253,0,639,2 oz,Irish Cream
254,0,753,1 oz,Vodka
255,1,680,1 oz,Vodka
256,4,405,{null},Stir
258,2,666,2 oz,Vodka
259,2,365,fill,Clamato Juice
260,4,327,1 tbsp,Lemon Juice
262,1,342,8 wedges,Limes
263,0,751,{null},Tools: Shaker
264,6,460,{null},Shake
265,7,556,{null},Strain into glass
266,0,296,{null},Tools: Shaker
267,0,710,{null},Tools: Mixing Glass
270,0,445,{null},Tools: Shaker
271,6,573,{null},Place Cherry in bottom of glass
273,8,417,1 splash,Cola
274,5,443,{null},Shake
275,5,581,1/2 oz,Blue Curacao
276,2,545,1/2 oz,Lime Juice
277,5,591,1 1/3 oz,Rum (light)
278,6,583,{null},Recommended Gin: Bombay Sapphire
279,7,555,{null},Recommended Peppermint Schnapps: Rumple Minze
282,2,546,3 oz,Vodka
283,2,674,1 oz,Kahlua
287,8,497,{null},Garnish with an orange twist
