id,stepindex,recipe_id,stepamount,steptitle
15,0,{null},{null},Tools: Shaker
17,5,{null},1 yolk,Egg
24,8,{null},{null},Stir
39,2,{null},1/3 oz,Triple Sec
48,9,{null},1 sprig,Mint
53,2,{null},1 oz,Lemon Juice
55,2,{null},Garnish,Lemon
69,1,{null},3/4 oz,Jagermeister
72,6,{null},3 oz,Club soda
75,2,{null},1 oz,Vodka
78,4,{null},1,Egg
93,4,{null},1 oz,Rum (light)
94,3,{null},1/2 oz,Rum (dark)
97,5,{null},{null},Pour over ice
98,0,{null},{null},Tool: Muddler
102,1,{null},2 oz,Whiskey
110,1,{null},Fill 3/4,Ice
115,10,{null},Fill 1/2,Resulting Batter
117,0,{null},{null},Tools: Shaker
120,2,{null},1 oz,Rum
125,5,{null},Fill 1/2,Ice
126,6,{null},{null},Shake
128,4,{null},1 pinch,Salt
129,1,{null},Fill 3/4,Ice
134,7,{null},Garnish,Pineapple
135,2,{null},1 1/2 oz,Vodka
139,3,{null},2.25 liters,Claret
143,7,{null},Fill,Club Soda
149,3,{null},1 oz,Lemon Juice
161,1,{null},Fill 1/2,Ice
164,4,{null},1/2 tsp,Apricot Liqueur
167,1,{null},2 oz,Jagermeister
192,7,{null},{null},Garnish with a maraschino cherry and an orange slice
193,3,{null},2 oz,Club Soda
198,1,{null},Fill 1/2,Ice
202,0,{null},{null},Tools: Blender
205,3,{null},1 tsp,Sugar (superfine)
206,1,{null},2 oz,Tomato Juice
213,4,{null},3 oz,Mountain Dew
216,6,{null},Garnish,Lemon
218,2,{null},3/4 oz,Schnapps (Cinnamon)
220,13,{null},{null},
222,1,{null},2 oz,Midori
224,0,{null},{null},Tools: Mixing Glass
228,0,{null},1 oz,Sambuca (white)
237,0,{null},3-4 cubes,Ice
243,1,{null},1 oz,Watermelon Liqueur
248,7,{null},{null},Strain into glass
252,4,{null},Fill,Ice
257,2,{null},1 1/2 oz,Brandy
261,3,{null},1 oz,Brandy
268,11,{null},1/2 jigger,Rum
269,6,{null},2 1/2 oz,Bourbon
272,7,{null},{null},Strain into glass
280,4,{null},1 oz,Lemon Juice
281,2,{null},1 oz,Rum (coconut)
284,0,{null},1/2 Juiced,Limes
285,3,{null},1/4-3/4 oz,Sugar Syrup
286,1,{null},2 tsp,Sugar (granulated)
289,8,{null},Garnish,Cherry
303,6,{null},2 dashes,Bitters
305,1,{null},Fill 3/4,Ice
306,2,{null},1-2 shots,Tequila
308,5,{null},2 oz,Lemon Juice
309,2,{null},1 oz,Lemon Juice
315,4,{null},{null},Stir
326,7,{null},{null},Recommended Vodka: Absolut Citron
335,2,{null},1 1/2 oz,Rum (dark)
351,3,{null},3/4 oz,Schnapps (blackberry)
357,4,{null},1/2 cup,Half-and-Half
358,0,{null},{null},Tools: Shaker
365,8,{null},{null},Garnish with a lemon slice
369,4,{null},1 1/2 oz,Bourbon
370,1,{null},1/2 oz,Grenadine
379,2,{null},1/2 oz,Banana Liqueur
380,6,{null},{null},Shake
390,1,{null},1/2 Blender,Ice
394,3,{null},3/4 oz,Orange Curacao
401,0,{null},3-4,Ice (cubes)
403,5,{null},1/2 oz,Brandy (apricot)
404,4,{null},1/4 tsp,Maraschino Liqueur
407,0,{null},Fill 1/2,Ice
408,1,{null},Fill,Ice
410,4,{null},2 oz,Sour Mix
419,3,{null},1 oz,Rum (dark)
422,4,{null},1 splash,Lemon-Lime Cola
428,2,{null},4 wedges,Lime
431,7,{null},Fill,Ice
434,1,{null},Fill 3/4,Ice
435,4,{null},2 dashes,Bitters
439,5,{null},2 oz,Rum
440,5,{null},4 oz,Brandy (apricot)
447,1,{null},Fill 3/4,Ice
452,2,{null},2 oz,Gin
453,6,{null},3/4 oz,Orange Liqueur
457,1,{null},1 oz,Rum (coconut)
460,3,{null},1 tsp,Sugar (superfine)
462,3,{null},1 squeeze,Lime
464,5,{null},{null},Shake
468,4,{null},{null},Strain into glass
471,1,{null},Fill,Ice (crushed)
480,4,{null},{null},Stir
490,5,{null},3 oz,Club soda
495,3,{null},1/2 tsp,Orange Curacao
500,5,{null},1,Egg
501,5,{null},{null},Mix
507,0,{null},3 oz,Jagermeister
514,0,{null},{null},Rim glass with Salt
523,4,{null},1 tsp,Sugar (superfine)
530,2,{null},fill,Milk
543,3,{null},1 oz,Rum (coconut)
546,13,{null},{null},Boil Water
548,3,{null},{null},Muddle
550,6,{null},{null},Strain into glass
552,2,{null},1 cup,Vodka
553,6,{null},2 oz,Pineapple Juice
560,1,{null},Fill 1/2,Ice
561,2,{null},1,Egg
568,1,{null},1 1/2 oz,Whiskey
572,5,{null},1,Egg
578,8,{null},Garnish,Mint Sprig
579,4,{null},{null},Stir
585,3,{null},1/2 oz,White Creme de Menthe
588,6,{null},4 oz,Bourbon
590,2,{null},2 oz,Gin
594,12,{null},Garnish,Pineapples
595,0,{null},{null},"Tools: Shaker, Melon Baller"
597,2,{null},1 1/2 oz,Vodka (lemon)
598,3,{null},1 tsp ,Creme de Menthe (green)
599,5,{null},{null},Shake
603,6,{null},{null},Garnish with a maraschino cherry and an orange slice
606,2,{null},1 oz,Chambord
612,7,{null},3/4 oz,Orgeat Syrup
616,2,{null},4 Leaves,Mint
620,6,{null},Garnish,Fruit
624,0,{null},Fill,Ice
657,5,{null},{null},Recommended Peppermint Schnapps: Rumple Minze
671,3,{null},Garnish,Cherry
679,4,{null},2 dashes,Peychaud Bitters
685,6,{null},{null},Strain into glass
690,3,{null},1,Egg
701,14,{null},1/2 cup,Water (hot)
702,3,{null},1 tsp,Sugar
706,2,{null},2 oz,Rum
707,6,{null},1 tsp,Sugar (powdered)
713,7,{null},1/4 oz,Lime Juice
714,1,{null},Fill 1/2,Ice
717,5,{null},1/4 oz,Anisette
718,7,{null},Garnish,Orange
728,2,{null},Fill,Ginger Ale
733,12,{null},3 sliced,Oranges
739,8,{null},{null},Shake
743,2,{null},1 1/2 oz,Brandy
744,3,{null},1/4 tsp,Lemon Juice
749,5,{null},1 oz,Grapefruit Juice
758,7,{null},8 oz,Triple Sec
759,5,{null},3 oz,Club soda
762,3,{null},1/2 oz,Chambord
767,3,{null},{null},Stir until sugar dissolves
769,3,{null},Fill,Sweet and Sour
779,3,{null},2 oz,Rum (dark)
786,5,{null},Fill,Lemon-Lime Cola
820,3,{null},1 tsp,Grenadine
822,5,{null},1 tsp,Grenadine
833,6,{null},{null},Shake
840,15,{null},{null},Stir
846,3,{null},{null},Garnish with a lemon twist
855,7,{null},garnish,Cherry
858,3,{null},1 oz,Lemon Juice
861,5,{null},{null},Stir
869,6,{null},{null},Garnish with a maraschino cherry and an orange slice
870,8,{null},4 oz,Lemonade
871,2,{null},6 dashes,Worcestershire Sauce
872,0,{null},Fill,Ice
874,8,{null},Garnish,Cherry (maraschino)
880,7,{null},3 oz,Milk
887,5,{null},2 1/2 oz,Cachaca
888,2,{null},1 tsp,Sugar (powdered)
893,6,{null},1 oz,Orange Juice
894,1,{null},Fill 3/4,Ice
904,8,{null},1 qt,Club Soda
907,9,{null},{null},In glass
924,5,{null},1 tsp,Sugar (powdered)
926,6,{null},Add to taste,Viuda de Sanchez
941,0,{null},{null},Tools: Shaker
952,7,{null},{null},Strain into glass
957,11,{null},{null},Chill Club Soda
963,6,{null},1 yolk,Egg
964,2,{null},1 1/2 oz,Gin
981,8,{null},{null},Sprinkle nutmeg on top
987,16,{null},1/2 tsp,Nutmeg
993,0,{null},5 whole pitted,Cherries
1002,5,{null},1 tbsp,Sugar (powdered)
1003,6,{null},{null},Stir well
1005,3,{null},4 dashes,Tabasco Sauce
1008,10,{null},Fill,Ice
1009,9,{null},{null},Shake
1014,1,{null},2 tbsp,Lime Juice
1021,5,{null},1 1/2oz,Madeira
1025,1,{null},2 oz,Vodka
1039,7,{null},1 oz,Mango Syrup
1045,4,{null},Fill,Ice
1046,9,{null},2 cups,Tea
1048,5,{null},{null},Shake
1050,4,{null},Fill,Milk
1054,6,{null},1 white,Egg
1057,5,{null},{null},Shake
1075,7,{null},{null},Shake
1081,10,{null},{null},Strain into glass
1084,5,{null},1/2 oz,Sugar Syrup
1085,1,{null},1 oz,Vodka
1094,4,{null},1/2 oz,Egg
1116,1,{null},3-4 cubes,Ice
1117,10,{null},{null},Strain into glass over ice
1128,11,{null},{null},Strain into glass
1130,1,{null},1 1/2 oz,Whiskey
1134,4,{null},Fill 1/2,Ice
1136,6,{null},{null},Strain into glass
1138,4,{null},1 tsp,Light Cream
1144,0,{null},{null},Tools: Blender
1148,6,{null},{null},Pour into glass
1150,6,{null},1/3 can,Lemonade (Pink)
1158,5,{null},{null},Shake
1159,6,{null},{null},Stir
1161,10,{null},{null},Stir
1166,2,{null},2 oz,Lime Juice
1167,1,{null},{null},Muddle cherries
1169,9,{null},{null},Shake for 1 minute
1178,7,{null},{null},Shake
1180,0,{null},Fill 1/2,Ice
1185,8,{null},1/4 oz,Molasses
1194,6,{null},{null},Stir
1201,8,{null},{null},Strain into chilled glass
1204,0,{null},{null},Tools: Shaker
1212,0,{null},2 oz,Club Soda
1214,0,{null},Fill 1/2,Ice
1225,2,{null},1 oz,Irish Cream
1241,6,{null},{null},Strain into glass
1248,7,{null},{null},Strain into glass
1257,11,{null},Garnish,Lime Peel
1264,7,{null},{null},Blend
1266,2,{null},1/2 oz,Triple Sec
1284,2,{null},1 1/2 oz,Vodka
1295,7,{null},garnish,Cherry
1297,4,{null},6 oz,Pineapple Juice
1298,8,{null},{null},Strain over ice into glass
1304,11,{null},1 large block,Ice
1305,3,{null},8 oz,Ginger Ale
1322,8,{null},3-4 drops,Orange-Flower Water
1323,0,{null},1 tbsp,Honey
1326,1,{null},2 cups,Ice 
1328,8,{null},Garnish,Cherry
1332,9,{null},{null},Shake
1335,5,{null},2 dashes,Garlic Powder
1347,7,{null},2 oz,Club Soda
1351,0,{null},1 tsp,Worcestershire Sauce
1364,3,{null},1 oz,Schnapps (Peppermint)
1366,1,{null},2 oz,Brandy
1369,0,{null},Fill,Ice Cubes
1373,0,{null},Fill 1/2,Ice
1380,8,{null},{null},Garnish with a sprinkle of nutmeg
1398,7,{null},3 oz,Club soda
1404,1,{null},2 oz,Gin
1411,3,{null},1/3 oz,Grenadine
1419,10,{null},{null},Strain into glass
1422,3,{null},1/2 oz,Lemon Juice
1423,0,{null},2 cups,Lemon Juice
1427,13,{null},Garnish,Cherries (maraschino)
1458,9,{null},Fill,Club Soda
1465,2,{null},2 oz,Rum (light)
1474,7,{null},1 tbsp,Sugar (powdered)
1477,7,{null},1 slice,Orange
1483,6,{null},2 dashes,Onion Powder
1495,12,{null},1/4 oz,Club Soda
1499,8,{null},Garnish,Mint Sprig
1506,5,{null},{null},Stir
1511,4,{null},2 dashes,Vinegar
1512,2,{null},1 1/4 oz,Lemon Juice
1522,0,{null},{null},Tools: Shaker
1529,4,{null},3/4 glass,Orange Juice
1543,1,{null},1 tbsp,Tomato Juice
1553,8,{null},Garnish,Cherry (maraschino)
1554,2,{null},1 oz,Lemon Juice
1556,1,{null},1 1/2 oz,Vodka
1564,1,{null},1 3/4 oz,Vodka
1566,0,{null},{null},Chill Glass
1575,10,{null},{null},Stir
1576,11,{null},Garnish,Cherry
1588,13,{null},{null},Recommended Triple Sec: Cointreau
1598,14,{null},Garnish,Mint
1599,4,{null},6 oz,Maraschino Liqueur
1622,3,{null},1 1/2 oz,Coconut Cream
1633,6,{null},1,Egg
1634,1,{null},1 cup,Sugar (superfine)
1645,7,{null},3 dashes,Celery Salt
1646,6,{null},{null},Strain into glass
1667,3,{null},1 tsp,Sugar (superfine)
1683,0,{null},{null},Tools: Shaker
1687,0,{null},3/4 oz,Lime Juice
1697,2,{null},1,Egg
1700,11,{null},{null},Stir
1707,3,{null},1 tsp,Sugar (superfine)
1716,2,{null},1 1/2 oz,Triple Sec
1721,0,{null},1 1/2 oz ,Grand Marnier
1726,2,{null},3/4 oz,Kahlua
1732,5,{null},1 tsp,Pastis Liqueur
1734,9,{null},Garnish,Orange slice
1736,5,{null},{null},Shake
1738,4,{null},2 dashes,Bitters
1739,0,{null},{null},Tools: Mixing Glass
1750,5,{null},Fill,Club Soda
1752,2,{null},{null},Stir until sugar dissolves
1763,1,{null},1 1/2 oz,Gin
1774,5,{null},1/2 oz,Lime Juice
1791,4,{null},{null},Stir
1797,8,{null},2 dashes,Pepper
1803,3,{null},{null},Do not break yolk
1808,1,{null},1 oz,Brandy
1816,10,{null},Fill,Club Soda
1824,4,{null},{null},Stir
1825,3,{null},2 dashes,Curacao Orange Liqueur
1839,6,{null},{null},Shake
1845,0,{null},{null},Tools: Shaker
1846,4,{null},Garnish,Lime Peel
